rank,singer,song,time
148,刘旭阳 , 我已经爱上你 (正式版),3:06
149,萌萌哒天团 , 咖喱咖喱 (Live),2:38
150,谭秋娟(tiger)、赵家豪 , 水中花+La vie en rose (Live),4:34
151,李翊君 , 雨蝶,3:52
152,张宇 , 给你们,4:47
153,Clean Bandit、Demi Lovato , Solo (Yxng Bane Remix),3:41
154,王以太 , 目不转睛 (Live),2:42
155,Wiz Khalifa、Charlie Puth , See You Again,3:49
156,李佳丹小K、打包安琪 , 情非得已 (Live),3:49
157,小洲 , 还有梦想,4:26
158,薛之谦 , 丑八怪,4:13
159,刀郎 , 大眼睛,4:14
160,尹清、邱虹凯 , 我还年轻 我还年轻 (Live),5:07
161,张芸京 , 偏爱,3:32
162,徐秉龙、沈以诚 , 白羊,2:48
163,胡66 , 浪人琵琶,3:44
164,张宇 , 雨一直下,4:49
165,TFBOYS , 宠爱,4:26
166,祁隆、乐凡 , 等你等了那么久,5:06
167,G.E.M.邓紫棋 , 喜欢你,3:59
168,陈芳语 , 爱你,3:29
169,汪苏泷 , 一笑倾城,3:51
170,孙子涵 , 唐人,3:47
171,张杰 , 三生三世,4:17
172,庄心妍 , 以后的以后,4:58
173,蔡徐坤 , Wait Wait Wait,3:26
174,康树龙、旦增尼玛 , 野花 (Live),4:21
175,大哲 , 三十出头,3:23
176,庄心妍 , 走着走着就散了,4:28
177,云菲菲 , 殇雪,4:44
178,薛明媛、朱贺 , 非酋,2:52
179,郑源 , 包容,4:23
180,周杰伦 , 等你下课 (with 杨瑞代),4:30
181,黄飞鸿 , 再见你好,4:17
182,郭俊辰 , To be your love,2:49
183,彭丽丽 , 飞蛾扑火,4:41
184,跟风超人 , 大哥别杀我,3:24
185,刘德华 , 来生缘,3:56
186,薛之谦 , 你还要我怎样,5:10
187,邓丽君 , 我只在乎你 (国语),4:16
188,刘珂矣 , 半壶纱,3:42
189,刀郎 , 冲动的惩罚,7:50
190,林俊杰 , 那些你很冒险的梦,4:06
191,筷子兄弟 , 父亲,5:01
192,Soler , 风的季节,4:10
193,G.E.M.邓紫棋 , 再见,3:26
194,房东的猫 , 云烟成雨,4:00
195,鞠婧祎 , 叹云兮,4:43
196,门丽 , 死心塌地去爱你,3:39
197,夏小虎 , 我想和你结婚,3:36
198,陈雅森 , 我的快乐就是想你,5:05
199,Tez Cadey , Seve (Radio Edit),3:30
200,任妙音 , 天在下雨我在想你,4:26
201,G.E.M.邓紫棋 , 倒数,3:49
202,陈百强 , 偏偏喜欢你,3:32
203,凤凰传奇 , 奢香夫人,4:19
204,萧全 , 社会摇,4:09
205,正云 , 不变的情缘,4:11
206,周华健 , 难念的经,4:48
207,陈奕迅 , 十年,3:22
208,威仔、李哈哈 , 再也不会遇见第二个她,3:06
209,丛铭君 , 听说,4:19
210,薛之谦 , 哑巴,4:21
211,金贵晟 , 虹之间,4:06
212,谭咏麟 , 讲不出再见,4:52
213,周杰伦 , 简单爱,4:30
214,洛天依 , 学猫叫,3:26
215,跟风超人 , 你打不过我吧,2:38
216,Miley Cyrus , We Can't Stop (Radio Edit),3:52
217,张震岳 , 再见,3:03
218,李荣浩 , 李白,4:33
219,郑胖 , 无味,3:56
220,易烊千玺 , 灾,3:40
221,张学友 , 吻别,4:59
222,逃跑计划 , 夜空中最亮的星,4:12
223,郭俊辰 , star,4:26
224,张紫豪 , 可不可以,4:00
225,凤凰传奇 , 最炫民族风,4:45
226,王杰 , 谁明浪子心,5:03
227,许巍 , 曾经的你,4:23
228,叶洛洛 , 咖喱咖喱,2:55
229,正云、少薇 , 下定决心忘记你,3:42
230,毕书尽 , 无畏的明天,3:36
231,陶喆 , 就是爱你,4:22
232,Beatrich , Superstar,3:37
233,云朵 , 我的楼兰,5:27
234,龟仙人龟娘、清弄 , 风花雪月,4:27
235,莫籽 , 盗将行,3:18
236,潘玮柏、弦子 , 不得不爱,4:39
237,罗大佑 , 你的样子,3:28
238,庄心妍 , 两个人的回忆一个人过,4:27
239,苏勒亚其其格 , 歌在飞,4:04
240,赵鑫 , 许多年以后,5:12
241,BEYOND , 谁伴我闯荡,4:12
242,李克勤 , 月半小夜曲,4:53
243,念阳凡懿 , 我已经爱上你,2:20
244,Matteo , Panama,3:20
245,孙露 , 再度重相逢,3:27
246,阿涵 , 过客,4:30
247,张栋梁 , 当你孤单你会想起谁,4:15
248,房亮亮 , 妈妈我想你,4:44
249,庄心妍 , 放过自己,4:09
250,简弘亦 , 出卖,2:37
251,张雨生 , 大海,4:35
252,张靓颖 , 我的梦,3:39
253,王俊凯、白举纲 , 有种味道叫做家 (Live),2:25
254,安苏羽 , 缺氧,4:31
255,BEYOND , 灰色轨迹,5:26
256,梁博 , 男孩 (Live),5:11
257,徐小凤 , 风的季节,4:01
258,王丽坤、朱亚文 , 漂洋过海来看你,4:40
259,冷漠、杨小曼 , 心锁,4:16
260,卢冠廷、莫文蔚 , 一生所爱,4:34
261,张学友 , 我等到花儿也谢了 (国语),4:41
262,可可曾 , 越来越不懂,3:34
263,大壮 , 为你我受冷风吹 (Live),2:25
264,GALA乐队 , 追梦赤子心,5:19
265,天籁天 , 你还是从前的你吗,3:16
266,邓丽君 , 漫步人生路,3:44
267,金志文 , 远走高飞 (独唱版),4:01
268,祁隆 , 从未这样心动过,4:01
269,BEYOND , 不再犹豫,4:12
270,韩宝仪 , 无奈的思绪,3:45
271,任贤齐 , 伤心太平洋,4:26
272,章伟杰 , 我已经爱上你 (完整版),3:20
273,段丽阳 , 爸爸妈妈听我说,3:27
274,Idina Menzel , Let It Go,3:44
275,大壮 , 干杯朋友 (Live),3:29
276,云菲菲 , 邂逅,3:38
277,降央卓玛 , 走天涯,4:30
278,冷漠、杨小曼 , 爱如星火,4:20
279,曹越 , 你的眼角流着我的泪,4:24
280,Michael Learns to Rock , Take Me To Your Heart,3:58
281,金莎 , 爱的魔法,3:11
282,TFBOYS , 不完美小孩 (Live),4:20
283,刘瑞琦 , 房间 (新版),4:01
284,BEYOND , 情人,5:14
285,薛之谦 , 意外,4:47
286,周杰伦 , 晴天,4:29
287,刀郎 , 手心里的温柔,4:56
288,薛之谦 , 刚刚好,4:11
289,李春嫒 , 宫墙柳,4:30
290,邓紫霄、徐暐翔 , 光年之外+潜龙勿用 (Live),4:03
291,孙艺琪 , 最远的你是我最近的爱,4:17
292,季彦霖 , 选择失忆,4:39
293,Fly Project , Toca Toca (Radio Edit),2:44
294,郭力 , 为你伤心为你哭,3:59
295,孙露 , 还有我,3:52
296,郑少秋 , 笑看风云,4:25
297,刘德华 , 世界第一等,4:19
298,TFBOYS , 我们的时光,3:50
299,TFBOYS , 干杯 (Live),4:49
300,毛宁、杨钰莹 , 心雨,4:36
301,刘郡格、王朝(4) , 煎熬 (Live),3:39
302,南宫嘉骏、彭清 , 回忆总想哭,4:53
303,张磊 , 寻,4:42
304,李克勤 , 红日 (粤语),4:47
305,陈瑞 , 白狐,5:09
306,李荣浩 , 戒烟,4:53
307,戴佩妮 , 你要的爱,4:02
308,冷漠 , 没有你陪伴我真的好孤单,4:49
309,陆虎 , 看,4:03
310,黑龙 , 盗心贼,3:34
311,孙燕姿 , 遇见,3:29
312,Charli XCX , Boom Clap,2:48
313,老王乐队 , 我还年轻我还年轻,5:47
314,林俊杰 , 江南,4:28
315,TFBOYS , 最好的那年,3:50
316,刘德华 , 一起走过的日子,3:56
317,BEYOND , 大地 (粤语),4:19
318,CG、贺敬轩 , 文爱,3:21
319,徐誉滕 , 等一分钟,3:56
320,张靓颖、郑恺、王祖蓝、鹿晗、邓超 , 另一个天堂,4:27
321,周柏豪 , 你还怕大雨吗,4:14
322,薛之谦 , 绅士,4:51
323,毛不易、周深 , 梅香如故,4:02
324,谢军 , 阿哥阿妹,4:50
325,徐誉滕 , 天使的翅膀,3:35
326,音阙诗听、王梓钰 , 红昭愿 (高音质版),2:51
327,庄心妍 , 魔鬼中的天使,3:56
328,安与骑兵 , 红山果,4:38
329,许巍 , 蓝莲花,4:30
330,UN1、谭联耀 , 行星,4:05
331,G.E.M.邓紫棋 , 泡沫,4:18
332,谭咏麟 , 一生中最爱,4:27
333,唐古 , 我又想你了,4:08
334,齐晨 , 咱们结婚吧,3:48
335,张韶涵 , 隐形的翅膀,3:44
336,宁静 , 烟火里的尘埃 (Live),3:22
337,刀郎 , 披着羊皮的狼,7:26
338,F4 , 流星雨,4:37
339,火箭少女101 , 撞,3:39
340,小曾 , 军中绿花,4:09
341,王杰 , 不浪漫罪名,4:47
342,杨沛宜 , 左手右手,2:41
343,邵雨薇 , 怎样去爱,4:13
344,郑智化 , 水手 (Live),5:13
345,云朵、刀郎、王翰仪 , 爱是你我,5:18
